Width 512 Height 512
total # of pixels: 262144 (Y component only)

/*histogram bins*/
261632 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 1 
0 0 0 0 
1 0 1 0 
1 2 1 0 
1 1 0 5 
3 5 5 4 
3 5 2 7 
4 3 3 2 
1 3 3 3 
8 7 8 5 
9 12 7 14 
8 8 14 10 
11 15 6 24 
17 25 17 19 
16 10 2 4 
2 2 2 0 
1 1 0 1 
0 0 2 1 
3 5 5 7 
10 19 10 7 
13 8 5 4 
6 3 7 2 
1 1 5 1 
2 1 2 1 
5 0 1 1 
1 1 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 1 1 0 
0 0 0 0 
0 1 0 0 
0 0 1 0 
1 0 0 1 
0 0 1 0 
2 1 0 1 
1 0 4 0 
1 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
0 0 0 0 
/*cdf*/
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998047 
0.998047 0.998047 0.998047 0.998051 
0.998051 0.998051 0.998051 0.998051 
0.998055 0.998055 0.998058 0.998058 
0.998062 0.99807 0.998074 0.998074 
0.998077 0.998081 0.998081 0.9981 
0.998112 0.998131 0.99815 0.998165 
0.998177 0.998196 0.998203 0.99823 
0.998245 0.998257 0.998268 0.998276 
0.99828 0.998291 0.998302 0.998314 
0.998344 0.998371 0.998402 0.998421 
0.998455 0.998501 0.998528 0.998581 
0.998611 0.998642 0.998695 0.998734 
0.998775 0.998833 0.998856 0.998947 
0.999012 0.999107 0.999172 0.999245 
0.999306 0.999344 0.999352 0.999367 
0.999374 0.999382 0.99939 0.99939 
0.999393 0.999397 0.999397 0.999401 
0.999401 0.999401 0.999409 0.999413 
0.999424 0.999443 0.999462 0.999489 
0.999527 0.999599 0.999638 0.999664 
0.999714 0.999744 0.999763 0.999779 
0.999802 0.999813 0.99984 0.999847 
0.999851 0.999855 0.999874 0.999878 
0.999886 0.999889 0.999897 0.999901 
0.99992 0.99992 0.999924 0.999928 
0.999931 0.999935 0.999935 0.999935 
0.999935 0.999935 0.999935 0.999935 
0.999935 0.999935 0.999935 0.999935 
0.999935 0.999935 0.999935 0.999935 
0.999935 0.999939 0.999943 0.999943 
0.999943 0.999943 0.999943 0.999943 
0.999943 0.999947 0.999947 0.999947 
0.999947 0.999947 0.99995 0.99995 
0.999954 0.999954 0.999954 0.999958 
0.999958 0.999958 0.999962 0.999962 
0.999969 0.999973 0.999973 0.999977 
0.999981 0.999981 0.999996 0.999996 
1 1 1 1 
1 1 1 1 
1 1 1 1 
1 1 1 1 
1 1 1 1 
1 1 1 1 
1 1 1 1 
1 1 1 1 
